id,market,category,slug,page_type,keyword,status,notes
1,us,trading,index,pillar,financial analyst trading multiple screens bright professional office white background,skip,Existing hero.webp (47KB) kept — REPLACE skipped per user instruction
2,us,personal-finance,index,pillar,premium credit cards flat lay white marble background professional editorial clean,optimized,batch-image-pipeline.mjs — Pexels CDN — 
3,us,ai-tools,index,pillar,professional using ai software laptop bright clean office white background editorial,optimized,batch-image-pipeline.mjs — Pexels CDN — 
4,us,cybersecurity,index,pillar,cybersecurity professional bright office clean white background enterprise protection editorial,optimized,batch-image-pipeline.mjs — Pexels CDN — 
5,us,business-banking,index,pillar,business banking app on tablet white background professional editorial clean fintech,optimized,batch-image-pipeline.mjs — Pexels CDN — 
6,uk,trading,index,pillar,london financial professional office bright editorial trading screen white clean,optimized,batch-image-pipeline.mjs — Pexels CDN — 
7,uk,personal-finance,index,pillar,investment savings professional british advisor bright clean white office editorial,optimized,batch-image-pipeline.mjs — Pexels CDN — 
8,uk,ai-tools,index,pillar,professional ai productivity tool laptop bright white office uk editorial clean,optimized,batch-image-pipeline.mjs — Pexels CDN — 
9,uk,cybersecurity,index,pillar,cybersecurity enterprise uk professional bright office editorial clean light,optimized,batch-image-pipeline.mjs — Pexels CDN — 
10,uk,business-banking,index,pillar,neobank mobile app white background flat lay professional editorial clean british,optimized,batch-image-pipeline.mjs — Pexels CDN — 
11,ca,forex,index,pillar,forex trading platform laptop white background professional clean editorial canada,optimized,batch-image-pipeline.mjs — Pexels CDN — 
12,ca,personal-finance,index,pillar,investment portfolio app clean white background minimal professional editorial canada,optimized,batch-image-pipeline.mjs — Pexels CDN — 
13,ca,ai-tools,index,pillar,ai business software laptop bright white professional workspace editorial clean,optimized,batch-image-pipeline.mjs — Pexels CDN — 
14,ca,cybersecurity,index,pillar,cybersecurity professional bright clean white office business editorial,optimized,batch-image-pipeline.mjs — Pexels CDN — 
15,ca,business-banking,index,pillar,business banking app tablet white background professional clean editorial,optimized,batch-image-pipeline.mjs — Pexels CDN — 
16,au,trading,index,pillar,financial trading professional bright office australia editorial clean white background,optimized,batch-image-pipeline.mjs — Pexels CDN — 
17,au,forex,index,pillar,forex trading platform clean white background professional editorial australia light,optimized,batch-image-pipeline.mjs — Pexels CDN — 
